1,18,20,1,17,21,7
2,23,23,3,23,23,12
3,24,25,5,25,20,13
4,21,20,3,20,18,10
5,23,23,4,23,24,12
6,25,25,4,25,26,14
7,21,21,2,21,20,10
8,17,17,1,16,23,6
9,22,22,2,22,27,11
10,21,21,3,21,23,10
11,20,21,3,21,25,9
12,20,25,2,21,22,9
13,19,20,2,18,27,8
14,13,16,1,12,20,6
15,12,13,1,13,20,9
16,15,17,1,14,22,8
17,19,29,2,20,27,8
18,28,29,6,29,30,17
19,23,28,3,21,28,12
20,27,30,6,27,23,16
21,18,24,1,16,15,10
22,26,25,7,25,28,15
23,29,23,8,23,29,13
24,30,24,8,24,28,13
25,25,17,4,17,27,8
26,26,28,6,26,28,14
27,30,22,9,22,23,19
28,28,22,8,22,30,15
29,23,22,3,22,25,10
30,27,21,5,21,29,15
31,28,21,8,21,30,14
32,20,29,2,19,22,9
33,19,28,2,23,25,8
34,28,27,7,27,30,8
35,26,29,4,26,28,15
36,25,30,6,23,27,14
37,24,30,3,26,26,13
38,27,27,6,27,29,16
39,23,29,4,25,25,12
40,29,28,8,28,29,9
41,27,30,3,27,29,16
42,25,29,2,26,27,11
43,26,30,7,26,28,10
44,24,30,1,30,26,9
45,25,30,1,30,27,10
46,17,28,8,28,23,6
47,18,29,9,23,20,7
48,18,18,8,18,20,7
49,19,20,2,19,21,8
50,26,26,4,26,28,15
